St_Name,Lat,Lon
Airport Station,33.640870,-84.446228
Arts Center Station,33.789267,-84.387339
Ashby Station,33.756260,-84.416916
Avondale Station,33.775137,-84.282277
Bankhead Station,33.772503,-84.428970
Brookhaven?Station,33.860020,-84.339357
Buckhead Station,33.848865,-84.368329
Candler Park Station,33.761948,-84.339640
Chamblee?Station,33.887740,-84.305350
Civic Center?Station,33.766598,-84.387619
College Park?Station,33.651660,-84.448798
Decatur?Station,33.774681,-84.295320
Doraville?Station,33.902981,-84.280142
Dunwoody?Station,33.921281,-84.344363
East Lake?Station,33.765194,-84.312957
East Point?Station,33.677429,-84.440540
Five Points?Station,33.753850,-84.391531
Garnett?Station,33.748460,-84.395925
Georgia State Station,33.750377,-84.386240
GWCC/Mercedes-Benz Stadium Station,33.756613,-84.396827
H.E. Holmes?Station,33.754508,-84.470021
Indian Creek?Station,33.769810,-84.229677
Inman Park/Reynoldstown?Station,33.757704,-84.352576
Kensington?Station,33.772686,-84.251964
King Memorial Station,33.749962,-84.375587
Lakewood?Station,33.700522,-84.428797
Lenox?Station,33.845128,-84.358685
Lindbergh Center?Station,33.823188,-84.369383
Medical Center?Station,33.910712,-84.351574
Midtown?Station,33.781127,-84.386347
North Avenue Station,33.771705,-84.387038
North Springs Station,33.945069,-84.357206
Oakland City?Station,33.716957,-84.425142
Peachtree Center Station,33.757994,-84.387814
Sandy Springs Station,33.931969,-84.350665
Vine City?Station,33.756559,-84.403980
West End?Station,33.736031,-84.413664
West Lake Station,33.753201,-84.445313
